CELL_LINE_NAME	n	nearest_train_cosine	mae	rmse	mean_prediction_std	mean_signed_error
dkmg	16	0.9340175986289978	0.46992664571083465	0.6221939495527453	0.5208548	-0.3733722192738451
dv90	13	0.9340189695358276	0.5839712466238354	0.7267193386558785	0.8198299	-0.5730890465294657
skndz	13	0.9340243935585022	0.6285184742938004	0.7449107599758429	0.4797197	-0.5388824782561408
tov112d	15	0.9340308308601379	0.624752757485054	0.8029103476467511	0.43785763	-0.508698090695573
hs840t	16	0.9340769648551941	0.5177456411082986	0.6033404730380116	0.46386033	-0.3135752929173977
ke97	16	0.9340868592262268	0.7538371272667027	0.943369733208446	0.47145233	-0.6032813336067273
kyse70	13	0.9340875744819641	0.6398211522911029	0.7598670857121654	0.61622435	-0.6398211522911029
pk59	16	0.9340887665748596	0.5346356648307675	0.631381517103666	0.6844299	-0.4814267284445305
au565	15	0.9340896010398865	0.6394476964180682	0.8105031784169463	0.64301616	-0.5427349572077704
sknas	13	0.9341646432876587	0.6214647487914464	0.7300547061964577	0.48533994	-0.6214647487914464
malme3m	16	0.9341692924499512	0.8264468629392485	1.1489871305211372	0.52875763	-0.7668563636899421
colo678	16	0.9341753721237183	0.7787968534154799	0.9581856855748522	0.8032975	-0.5762269566058659
istmes1	16	0.9341776967048645	0.6688803631946209	0.8016784264883272	0.49033028	-0.5795648669763411
hara	13	0.9341867566108704	0.44043211605207466	0.5433878681119745	0.72191167	-0.29642494902670574
mc116	15	0.9342262148857117	0.4466274181966563	0.5435438818155837	0.5863801	-0.2837056974990648
kcl22	16	0.934241771697998	0.9187146904885768	1.1176307588630032	0.880751	-0.6712696590840816
ishikawaheraklio02er	13	0.9342923760414124	0.5059512367615332	0.6765172104207591	0.83210653	-0.3297369746061471
hec265	16	0.9342973828315735	0.5782100088894366	0.746806259016405	0.8977164	-0.44116118654608727
su8686	13	0.9343062043190002	0.6268099429426862	0.7587337408327378	0.54120797	-0.4716702465325352
rko	15	0.9343125820159912	0.6129059729576112	0.8398152830967034	0.8654101	-0.3361288444201152
j82	14	0.9344174265861511	0.5590274043035995	0.7021649464026544	0.67811257	-0.4752680727984119
snu182	14	0.9344974756240845	0.6474913859503459	0.7366462856401066	0.550106	-0.38103249967229563
sw579	15	0.9345417022705078	0.6860268872171351	0.8189550329416253	0.5035339	-0.6496488616852999
cck81	13	0.9345519542694092	0.4590684386400076	0.6067457960306015	0.82369834	-0.39335042164875905
mino	16	0.93455970287323	0.9019273478772314	1.1604215357939864	0.5670953	-0.708991021744829
lu99	16	0.9345774054527283	1.020000278372347	1.1958964196302588	0.6481154	-0.8643496485931066
